"Filename","FileSize","ModifiedDate"
"gdas1.dec05.w1","571 MB","11/26/07, 11:00:00 AM"
"gdas1.dec05.w2","571 MB","11/26/07, 11:00:00 AM"
"gdas1.dec05.w3","571 MB","11/26/07, 11:00:00 AM"
"gdas1.dec05.w4","571 MB","11/26/07, 11:00:00 AM"
"gdas1.dec05.w5","245 MB","11/26/07, 11:00:00 AM"
"gdas1.dec06.w1","571 MB","12/8/06, 11:00:00 AM"
"gdas1.dec06.w2","571 MB","12/15/06, 11:00:00 AM"
"gdas1.dec06.w3","571 MB","12/22/06, 11:00:00 AM"
"gdas1.dec06.w4","571 MB","12/29/06, 11:00:00 AM"
"gdas1.dec06.w5","245 MB","1/3/07, 11:00:00 AM"
"gdas1.dec07.w1","571 MB","12/8/07, 11:00:00 AM"
"gdas1.dec07.w2","571 MB","12/15/07, 11:00:00 AM"
"gdas1.dec07.w3","571 MB","12/22/07, 11:00:00 AM"
"gdas1.dec07.w4","571 MB","12/29/07, 11:00:00 AM"
"gdas1.dec07.w5","245 MB","1/1/08, 11:00:00 AM"
"gdas1.dec08.w1","571 MB","12/8/08, 11:00:00 AM"
"gdas1.dec08.w2","571 MB","12/15/08, 11:00:00 AM"
"gdas1.dec08.w3","571 MB","12/22/08, 11:00:00 AM"
"gdas1.dec08.w4","571 MB","12/29/08, 11:00:00 AM"
"gdas1.dec08.w5","245 MB","1/1/09, 11:00:00 AM"
"gdas1.dec09.w1","571 MB","12/8/09, 11:00:00 AM"
"gdas1.dec09.w2","571 MB","12/15/09, 11:00:00 AM"
"gdas1.dec09.w3","571 MB","12/28/09, 11:00:00 AM"
"gdas1.dec09.w4","571 MB","1/4/10, 11:00:00 AM"
"gdas1.dec09.w5","245 MB","1/4/10, 11:00:00 AM"
"gdas1.dec10.w1","571 MB","12/8/10, 11:00:00 AM"
"gdas1.dec10.w2","571 MB","12/15/10, 11:00:00 AM"
"gdas1.dec10.w3","571 MB","12/22/10, 11:00:00 AM"
"gdas1.dec10.w4","571 MB","12/29/10, 11:00:00 AM"
"gdas1.dec10.w5","245 MB","1/1/11, 11:00:00 AM"
"gdas1.dec11.w1","571 MB","12/8/11, 11:00:00 AM"
"gdas1.dec11.w2","571 MB","12/15/11, 11:00:00 AM"
"gdas1.dec11.w3","571 MB","12/22/11, 11:00:00 AM"
"gdas1.dec11.w4","571 MB","12/29/11, 11:00:00 AM"
"gdas1.dec11.w5","245 MB","1/1/12, 11:00:00 AM"
"gdas1.dec12.w1","571 MB","12/8/12, 11:00:00 AM"
"gdas1.dec12.w2","571 MB","12/15/12, 11:00:00 AM"
"gdas1.dec12.w3","571 MB","12/22/12, 11:00:00 AM"
"gdas1.dec12.w4","571 MB","12/29/12, 11:00:00 AM"
"gdas1.dec12.w5","245 MB","1/1/13, 11:00:00 AM"
"gdas1.dec13.w1","571 MB","12/8/13, 11:00:00 AM"
"gdas1.dec13.w2","571 MB","12/15/13, 11:00:00 AM"
"gdas1.dec13.w3","571 MB","12/22/13, 11:00:00 AM"
"gdas1.dec13.w4","571 MB","12/29/13, 11:00:00 AM"
"gdas1.dec13.w5","245 MB","1/1/14, 11:00:00 AM"
"gdas1.dec14.w1","571 MB","12/8/14, 11:00:00 AM"
"gdas1.dec14.w2","571 MB","12/19/14, 11:00:00 AM"
"gdas1.dec14.w3","571 MB","12/22/14, 11:00:00 AM"
"gdas1.dec14.w4","571 MB","12/29/14, 11:00:00 AM"
"gdas1.dec14.w5","245 MB","1/1/15, 11:00:00 AM"
"gdas1.dec15.w1","571 MB","12/7/15, 11:00:00 AM"
"gdas1.dec15.w2","571 MB","12/14/15, 11:00:00 AM"
"gdas1.dec15.w3","571 MB","12/21/15, 11:00:00 AM"
"gdas1.dec15.w4","571 MB","12/28/15, 11:00:00 AM"
"gdas1.dec15.w5","245 MB","12/31/15, 11:00:00 AM"
"gdas1.dec16.w1","571 MB","12/8/16, 11:00:00 AM"
"gdas1.dec16.w2","571 MB","12/15/16, 11:00:00 AM"
"gdas1.dec16.w3","571 MB","12/22/16, 11:00:00 AM"
"gdas1.dec16.w4","571 MB","12/29/16, 11:00:00 AM"
"gdas1.dec16.w5","245 MB","1/5/17, 11:00:00 AM"
"gdas1.dec16.w5.manual","245 MB","1/5/17, 11:00:00 AM"
"gdas1.dec17.w1","571 MB","12/8/17, 11:00:00 AM"
"gdas1.dec17.w2","571 MB","12/15/17, 11:00:00 AM"
"gdas1.dec17.w3","571 MB","12/22/17, 11:00:00 AM"
"gdas1.dec17.w4","571 MB","12/29/17, 11:00:00 AM"
"gdas1.dec17.w5","245 MB","1/1/18, 11:00:00 AM"
"gdas1.dec18.w1","571 MB","12/8/18, 11:00:00 AM"
"gdas1.dec18.w2","571 MB","12/15/18, 11:00:00 AM"
"gdas1.dec18.w3","571 MB","12/22/18, 11:00:00 AM"
"gdas1.dec18.w4","571 MB","12/29/18, 11:00:00 AM"
"gdas1.dec18.w5","245 MB","1/1/19, 11:00:00 AM"
"gdas1.dec19.w1","571 MB","12/8/19, 11:00:00 AM"
"gdas1.dec19.w2","571 MB","12/15/19, 11:00:00 AM"
"gdas1.dec19.w3","571 MB","12/22/19, 11:00:00 AM"
"gdas1.dec19.w4","571 MB","12/29/19, 11:00:00 AM"
"gdas1.dec19.w5","245 MB","1/1/20, 11:00:00 AM"
"gdas1.dec20.w1","571 MB","12/8/20, 4:42:00 PM"
"gdas1.dec20.w2","571 MB","12/15/20, 4:41:00 PM"
"gdas1.dec20.w3","571 MB","12/22/20, 4:41:00 PM"
"gdas1.dec20.w4","571 MB","12/29/20, 4:41:00 PM"
"gdas1.dec20.w5","245 MB","1/1/21, 4:40:00 PM"
"gdas1.feb05.w1","571 MB","11/26/07, 11:00:00 AM"
"gdas1.feb05.w2","571 MB","11/26/07, 11:00:00 AM"
"gdas1.feb05.w3","571 MB","11/26/07, 11:00:00 AM"
"gdas1.feb05.w4","571 MB","11/26/07, 11:00:00 AM"
"gdas1.feb06.w1","571 MB","2/8/06, 11:00:00 AM"
"gdas1.feb06.w2","571 MB","2/15/06, 11:00:00 AM"
"gdas1.feb06.w3","571 MB","3/2/06, 11:00:00 AM"
"gdas1.feb06.w4","571 MB","3/2/06, 11:00:00 AM"
"gdas1.feb07.w1","571 MB","2/9/07, 11:00:00 AM"
"gdas1.feb07.w2","571 MB","2/15/07, 11:00:00 AM"
"gdas1.feb07.w3","571 MB","2/22/07, 11:00:00 AM"
"gdas1.feb07.w4","571 MB","3/1/07, 11:00:00 AM"
"gdas1.feb08.w1","571 MB","2/8/08, 11:00:00 AM"
"gdas1.feb08.w2","571 MB","2/15/08, 11:00:00 AM"
"gdas1.feb08.w3","571 MB","2/22/08, 11:00:00 AM"
"gdas1.feb08.w4","571 MB","2/29/08, 11:00:00 AM"
"gdas1.feb08.w5","81.6 MB","3/1/08, 11:00:00 AM"
"gdas1.feb09.w1","571 MB","2/8/09, 11:00:00 AM"
"gdas1.feb09.w2","571 MB","2/15/09, 11:00:00 AM"
"gdas1.feb09.w3","571 MB","2/22/09, 11:00:00 AM"
"gdas1.feb09.w4","571 MB","3/1/09, 11:00:00 AM"
"gdas1.feb10.w1","571 MB","2/17/10, 11:00:00 AM"
"gdas1.feb10.w2","571 MB","2/17/10, 11:00:00 AM"
"gdas1.feb10.w3","571 MB","2/22/10, 11:00:00 AM"
"gdas1.feb10.w4","571 MB","3/1/10, 11:00:00 AM"
"gdas1.feb11.w1","571 MB","2/8/11, 11:00:00 AM"
"gdas1.feb11.w2","571 MB","2/15/11, 11:00:00 AM"
"gdas1.feb11.w3","571 MB","2/22/11, 11:00:00 AM"
"gdas1.feb11.w4","571 MB","3/1/11, 11:00:00 AM"
"gdas1.feb12.w1","571 MB","2/8/12, 11:00:00 AM"
"gdas1.feb12.w2","571 MB","2/15/12, 11:00:00 AM"
"gdas1.feb12.w3","571 MB","2/22/12, 11:00:00 AM"
"gdas1.feb12.w4","571 MB","2/29/12, 11:00:00 AM"
"gdas1.feb12.w5","81.6 MB","3/1/12, 11:00:00 AM"
"gdas1.feb13.w1","571 MB","2/8/13, 11:00:00 AM"
"gdas1.feb13.w2","571 MB","2/15/13, 11:00:00 AM"
"gdas1.feb13.w3","571 MB","2/22/13, 11:00:00 AM"
"gdas1.feb13.w4","571 MB","3/1/13, 11:00:00 AM"
"gdas1.feb14.w1","571 MB","2/8/14, 11:00:00 AM"
"gdas1.feb14.w2","571 MB","2/15/14, 11:00:00 AM"
"gdas1.feb14.w3","571 MB","2/22/14, 11:00:00 AM"
"gdas1.feb14.w4","571 MB","3/1/14, 11:00:00 AM"
"gdas1.feb15.w1","571 MB","2/8/15, 11:00:00 AM"
"gdas1.feb15.w2","571 MB","2/15/15, 11:00:00 AM"
"gdas1.feb15.w3","571 MB","2/22/15, 11:00:00 AM"
"gdas1.feb15.w4","571 MB","3/2/15, 11:00:00 AM"
"gdas1.feb16.w1","571 MB","2/7/16, 11:00:00 AM"
"gdas1.feb16.w2","571 MB","2/14/16, 11:00:00 AM"
"gdas1.feb16.w3","571 MB","2/21/16, 11:00:00 AM"
"gdas1.feb16.w4","571 MB","2/28/16, 11:00:00 AM"
"gdas1.feb16.w5","81.6 MB","2/29/16, 11:00:00 AM"
"gdas1.feb17.w1","571 MB","2/8/17, 11:00:00 AM"
"gdas1.feb17.w2","571 MB","2/15/17, 11:00:00 AM"
"gdas1.feb17.w3","571 MB","2/22/17, 11:00:00 AM"
"gdas1.feb17.w4","571 MB","3/1/17, 11:00:00 AM"
"gdas1.feb18.w1","571 MB","2/8/18, 11:00:00 AM"
"gdas1.feb18.w2","571 MB","2/15/18, 11:00:00 AM"
"gdas1.feb18.w3","571 MB","2/22/18, 11:00:00 AM"
"gdas1.feb18.w4","571 MB","3/1/18, 11:00:00 AM"
"gdas1.feb19.w1","571 MB","7/9/19, 10:00:00 AM"
"gdas1.feb19.w2","571 MB","7/9/19, 10:00:00 AM"
"gdas1.feb19.w3","571 MB","7/9/19, 10:00:00 AM"
"gdas1.feb19.w4","571 MB","7/9/19, 10:00:00 AM"
"gdas1.feb20.w1","571 MB","2/8/20, 11:00:00 AM"
"gdas1.feb20.w2","571 MB","2/15/20, 11:00:00 AM"
"gdas1.feb20.w3","571 MB","2/22/20, 11:00:00 AM"
"gdas1.feb20.w4","571 MB","2/29/20, 11:00:00 AM"
"gdas1.feb20.w5","81.6 MB","3/1/20, 11:00:00 AM"
"gdas1.feb21.w1","571 MB","2/8/21, 4:39:00 PM"
"gdas1.feb21.w2","571 MB","2/15/21, 4:39:00 PM"
"gdas1.jan05.w1","571 MB","11/26/07, 11:00:00 AM"
"gdas1.jan05.w2","571 MB","11/26/07, 11:00:00 AM"
"gdas1.jan05.w3","571 MB","11/26/07, 11:00:00 AM"
"gdas1.jan05.w4","571 MB","11/26/07, 11:00:00 AM"
"gdas1.jan05.w5","245 MB","11/26/07, 11:00:00 AM"
"gdas1.jan06.w1","571 MB","1/9/06, 11:00:00 AM"
"gdas1.jan06.w2","571 MB","1/17/06, 11:00:00 AM"
"gdas1.jan06.w3","571 MB","1/23/06, 11:00:00 AM"
"gdas1.jan06.w4","571 MB","1/30/06, 11:00:00 AM"
"gdas1.jan06.w5","245 MB","2/1/06, 11:00:00 AM"
"gdas1.jan07.w1","571 MB","1/8/07, 11:00:00 AM"
"gdas1.jan07.w2","571 MB","1/16/07, 11:00:00 AM"
"gdas1.jan07.w3","571 MB","1/22/07, 11:00:00 AM"
"gdas1.jan07.w4","571 MB","1/29/07, 11:00:00 AM"
"gdas1.jan07.w5","245 MB","2/1/07, 11:00:00 AM"
"gdas1.jan08.w1","571 MB","1/8/08, 11:00:00 AM"
"gdas1.jan08.w2","571 MB","1/15/08, 11:00:00 AM"
"gdas1.jan08.w3","571 MB","1/22/08, 11:00:00 AM"
"gdas1.jan08.w4","571 MB","1/29/08, 11:00:00 AM"
"gdas1.jan08.w5","245 MB","2/1/08, 11:00:00 AM"
"gdas1.jan09.w1","571 MB","1/8/09, 11:00:00 AM"
"gdas1.jan09.w2","571 MB","1/15/09, 11:00:00 AM"
"gdas1.jan09.w3","571 MB","1/22/09, 11:00:00 AM"
"gdas1.jan09.w4","571 MB","1/29/09, 11:00:00 AM"
"gdas1.jan09.w5","245 MB","2/1/09, 11:00:00 AM"
"gdas1.jan10.w1","571 MB","1/8/10, 11:00:00 AM"
"gdas1.jan10.w2","571 MB","1/15/10, 11:00:00 AM"
"gdas1.jan10.w3","571 MB","1/22/10, 11:00:00 AM"
"gdas1.jan10.w4","571 MB","1/29/10, 11:00:00 AM"
"gdas1.jan10.w5","245 MB","2/1/10, 11:00:00 AM"
"gdas1.jan11.w1","571 MB","1/8/11, 11:00:00 AM"
